id,file,path,kind,role,description_ru,bpm,key,bars,root_note,duration_s,sample_rate,bit_depth,channels,destination,not_destination,related,peak_dbfs,true_peak_dbfs_4x,source,sha256
D01,D01_DeepShortKick.wav,AUDIO/01_Drums/D01_DeepShortKick.wav,one_shot,Drums,Короткий плотный синтетический kick; не длинный басовый дроп.,,,,,0.65,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,f891e079e606c838968807355c6deeb81d17b3910912ee6a66e45336cfd3d39c
D02,D02_DryBodySnare.wav,AUDIO/01_Drums/D02_DryBodySnare.wav,one_shot,Drums,Сухой snare с телом и коротким шумовым хвостом.,,,,,0.45,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.27,original_procedural_synthesis,d4042603181ee75d3114831433f677ba737de78f6e1fc3429677e110712690bd
D03,D03_SkinRim.wav,AUDIO/01_Drums/D03_SkinRim.wav,one_shot,Drums,"Узкий rim-акцент; заполнять редкие паузы, не весь ритм.",,,,,0.22,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,e69abe7c96dedb30f2d1187e263549c4d8f940e6808cb1e65d81d30a3a1f8cc4
D04,D04_ClosedSteelHat.wav,AUDIO/01_Drums/D04_ClosedSteelHat.wav,one_shot,Drums,Короткий закрытый hat.,,,,,0.13,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-5.11,original_procedural_synthesis,3553797f50df6448bdcfa973138438b17d452ba13c9128c5c04042ce5cdb96c1
D05,D05_OpenDustHat.wav,AUDIO/01_Drums/D05_OpenDustHat.wav,one_shot,Drums,Умеренно длинный пыльный hat.,,,,,0.48,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.32,original_procedural_synthesis,27de2b0c2b75f006c3c0f37532f3af8998ee8b78b56385b947114e4cb6058636
D06,D06_SoftShake.wav,AUDIO/01_Drums/D06_SoftShake.wav,one_shot,Drums,Лёгкий шумовой shaker-акцент.,,,,,0.22,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.56,original_procedural_synthesis,a661be9472a6a467039de6bae92ac9b29c6e69d55cfbc732840a596632fc48f7
D07,D07_BrokenClap.wav,AUDIO/01_Drums/D07_BrokenClap.wav,one_shot,Drums,Небольшой расслаивающийся clap; не стадионный хлопок.,,,,,0.38,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,025895d2b5ea33f34f989dc9062967191e5f1f2df2be8376d03201f6cf47aff5
D08,D08_LowOrganicTom.wav,AUDIO/01_Drums/D08_LowOrganicTom.wav,one_shot,Drums,Низкий синтетический tom с короткой мягкой атакой.,,,,,0.6,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,9d95eda7e599764fc2be6a15f715af18c4133f18c28a5e0ea5fc486005025382
D09,D09_ThinWoodKnock.wav,AUDIO/01_Drums/D09_ThinWoodKnock.wav,one_shot,Percussion,Синтезированный wood-like knock. Это не живая field recording.,,,,,0.22,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,78d86ae61def99fe94853bb2cadfb84a389c71c1fc7b5d6d307be945daaf9e29
D10,D10_MetalRimTick.wav,AUDIO/01_Drums/D10_MetalRimTick.wav,one_shot,Percussion,Тонкий металлический tick для междолевых акцентов.,,,,,0.25,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.92,original_procedural_synthesis,199027920acab48d7979b1e8007c2fa8aafd1d4aaf33de49342484245f4b1cd0
D11,D11_BrushScrape.wav,AUDIO/01_Drums/D11_BrushScrape.wav,one_shot,Percussion,Синтетический короткий шорох; располагать в паузах вокала.,,,,,0.7,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,07c9b75dd64c2716d1c1108b00a74cd86d12652440f02d439caddd8a6ee5f820
D12,D12_MutedThud.wav,AUDIO/01_Drums/D12_MutedThud.wav,one_shot,Percussion,Приглушённый тактильный удар без большого сабового хвоста.,,,,,0.45,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,d2fc8abcbb22013bbcd6d6096a13e8dd7d99ce7798da4b6bb2ef9cc0d47d4a5c
F01,F01_RelayClick.wav,AUDIO/02_Electric_FX/F01_RelayClick.wav,one_shot,FX,Короткий relay click для механического рисунка.,,,,,0.2,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.88,original_procedural_synthesis,5be2683afb96aec064c8df48311979f7e29a677d7007fdd54003fe5cf1e315f4
F02,F02_ElectricalCrack.wav,AUDIO/02_Electric_FX/F02_ElectricalCrack.wav,one_shot,FX,Хлёсткий короткий электрический crack без голоса и ритма.,,,,,0.42,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.4,original_procedural_synthesis,41bba078598a42c7630cd88e31478ae031e52bcd7ecdf94ebe9e6c53772d539b
F03,F03_RatchetBurst.wav,AUDIO/02_Electric_FX/F03_RatchetBurst.wav,one_shot,FX,"Неровная цепочка relay-щелчков; одиночный жест, не музыкальный луп.",,,,,0.75,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.86,original_procedural_synthesis,713a98ad4527853c895c51a43bb47d9b2fd5d580f390263120cd2537e7a4899a
F04,F04_WireScrape.wav,AUDIO/02_Electric_FX/F04_WireScrape.wav,one_shot,FX,Шероховатый wire-like scrape с меняющейся окраской.,,,,,1.3,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,ac95f71521560ea98107889544853d4fee9fc738aa556783d362a106694d0634
F05,F05_BandlimitedSpark.wav,AUDIO/02_Electric_FX/F05_BandlimitedSpark.wav,one_shot,FX,Искристый ограниченный по полосе шумовой акцент.,,,,,0.55,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,f10bce1f567a18709b75b955befac2e6d64c7b9613c95c2d9992878327b108b1
F06,F06_ShortCircuitStutter.wav,AUDIO/02_Electric_FX/F06_ShortCircuitStutter.wav,one_shot,FX,Один рваный электрический stutter; не обещает попадание в любую сетку.,,,,,1.25,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.6,original_procedural_synthesis,4298e6453e7c91ce94679cc6d13d15d47ba7ac3f16231e73b521670c23c15c9b
F07,F07_ReverseMetalSwell.wav,AUDIO/02_Electric_FX/F07_ReverseMetalSwell.wav,one_shot,FX,Обратный металлический подвод к событию; окончание совместить со стыком.,,,,,2.0,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,f8c81cc2924d50e9853bf9f0cbca08c23626a9406bfad6027de95539da8a473c
F08,F08_CableResonance.wav,AUDIO/02_Electric_FX/F08_CableResonance.wav,one_shot,FX,"Резонансный кабельный жест; материал синтезирован, не записан в поле.",,,,,1.6,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,559303238f9c4e66524bea20205e629314cfc8e6f4314e06196604fda1083753
F09,F09_StaticDropout.wav,AUDIO/02_Electric_FX/F09_StaticDropout.wav,one_shot,FX,"Шумовая текстура с провалами; содержит намеренные dropout, не дефект файла.",,,,,1.4,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.65,original_procedural_synthesis,4b6d034543c32b6f6d606c8594bce45364a5bac4ff52dc4de218041d7e00f2f0
F10,F10_AirShiver.wav,AUDIO/02_Electric_FX/F10_AirShiver.wav,one_shot,FX,Воздушная синтетическая дрожь. Не человеческий вдох и не вокал.,,,,,2.5,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.74,original_procedural_synthesis,833bc3fc733ca985d0d04f3d7b08060608b44a102ba91e239aff4222b011ab83
F11,F11_SubImpact_D1.wav,AUDIO/02_Electric_FX/F11_SubImpact_D1.wav,one_shot,FX,Низкий D1 impact; не накладывать без проверки на саб и kick.,,,,D1,1.2,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,e031ac653cc11b6b1ed6ee5a3080e31b65e99029daa3f19c629f50e21eeb90d5
F12,F12_TapeStopGesture.wav,AUDIO/02_Electric_FX/F12_TapeStopGesture.wav,one_shot,FX,Синтетическое замедление высоты для конца фразы; не реальная лента.,,,,,1.1,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",,-7.0,-6.99,original_procedural_synthesis,c72c9b37b1bd2b6fc4bbeb1bd7a8b1373e5f81b69273ef5ad4ae8f6ed327bc39
L01,L01_Drums_Broken_96_4bars.wav,AUDIO/04_Loops/L01_Drums_Broken_96_4bars.wav,loop,Drums,Изолированный broken-drum loop; соответствует M09.,96,,4,,10.0,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",M09 | D01 | D02 | D04,-7.0,-6.96,original_procedural_synthesis,dc2dd5eb433a74bf7cf115fff264a88e21c700f68505f3a2531c8171a19ca5e5
L02,L02_Perc_Machine_96_4bars.wav,AUDIO/04_Loops/L02_Perc_Machine_96_4bars.wav,loop,Percussion,Редкий механический слой без гармонии; соответствует M10.,96,,4,,10.0,48000,24,2,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",M10 | F01 | D10 | D09,-7.0,-6.99,original_procedural_synthesis,655a4ef79e68562dde8a1679b8fd47c1609add5a6769c5b42d7d596ebb895ab1
L03,L03_Sub_Dm_96_8bars.wav,AUDIO/04_Loops/L03_Sub_Dm_96_8bars.wav,loop,Bass,Восемь тактов bass-only. MIDI M02 сохраняет редактируемые ноты.,96,D minor,8,,20.0,48000,24,1,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",M02 | R01,-7.0,-6.99,original_procedural_synthesis,0081e27afb4271b65364048d51ecf64ed9769de01dbfe1df7159bd56f9f48355
L04,L04_Tines_Dm_96_8bars.wav,AUDIO/04_Loops/L04_Tines_Dm_96_8bars.wav,loop,Keys,Восемь тактов изолированных synthetic tines. НЕ гитара и не акустический рояль.,96,D minor,8,,20.0,48000,24,2,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",M01 | R03,-7.0,-6.99,original_procedural_synthesis,5994cb4ac5322a628ed92542d09a30a751e3829f2466e3daac4282688abae75a
L05,L05_Pad_Thin_Dm_96_4bars.wav,AUDIO/04_Loops/L05_Pad_Thin_Dm_96_4bars.wav,loop,Pad,Тонкая верхняя подложка для пары Dm/Bb.,96,D minor,4,,10.0,48000,24,2,Studio Audio track / local DAW Audio track,"Not a Wavetable preset, not a Voice profile. WAV on MIDI can trigger transcription.",M06 | R04,-7.0,-6.99,original_procedural_synthesis,99c5a382abbc12fdf73bbaffad410a29ed94460325e18fc8a8c5e529488393b0
